Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2025-01-13,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6748,
2025-01-14,MFP iOS calorie adjustment,Cardio,26.0,1,,,,6488,
2025-01-15,MFP iOS calorie adjustment,Cardio,23.0,1,,,,6691,
2025-01-16,MFP iOS calorie adjustment,Cardio,5.0,1,,,,9247,
2025-01-17,MFP iOS calorie adjustment,Cardio,2.0,1,,,,5213,
2025-01-18,MFP iOS calorie adjustment,Cardio,95.0,1,,,,9588,
2025-01-19,MFP iOS calorie adjustment,Cardio,7.0,1,,,,2491,
2025-01-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4963,
2025-01-21,MFP iOS calorie adjustment,Cardio,111.0,1,,,,10410,
2025-01-22,MFP iOS calorie adjustment,Cardio,4.0,1,,,,1415,
2025-01-23,MFP iOS calorie adjustment,Cardio,162.0,1,,,,12568,
2025-01-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,834,
2025-01-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,623,
2025-01-26,MFP iOS calorie adjustment,Cardio,1.0,1,,,,596,
2025-01-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,785,
2025-01-28,MFP iOS calorie adjustment,Cardio,0.0,1,,,,814,
2025-01-29,MFP iOS calorie adjustment,Cardio,0.0,1,,,,938,
2025-01-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,504,
2025-01-31,"""Strength training (weight lifting, weight training)""",Cardio,206.4,36,,,,,
2025-01-31,"""Walking, 2.5 mph, leisurely pace""",Cardio,150.7,30,,,,,
2025-01-31,MFP iOS calorie adjustment,Cardio,0.0,1,,,,7858,
2025-02-01,"""Strength training (weight lifting, weight training)""",Cardio,233.1,39,,,,,
2025-02-01,"""Walking, 2.5 mph, leisurely pace""",Cardio,191.2,34,,,,,
2025-02-01,MFP iOS calorie adjustment,Cardio,0.0,1,,,,9291,
2025-02-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1316,
2025-02-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2117,
2025-02-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1892,
2025-02-05,"""Strength training (weight lifting, weight training)""",Cardio,372.2,66,,,,,
2025-02-05,"""Walking, 2.0 mph, slow pace""",Cardio,74.7,18,,,,,
2025-02-05,"""Walking, 2.0 mph, slow pace""",Cardio,99.9,20,,,,,
2025-02-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4881,
2025-02-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1727,
2025-02-07,MFP iOS calorie adjustment,Cardio,3.0,1,,,,2976,
2025-02-08,MFP iOS calorie adjustment,Cardio,86.0,1,,,,7708,
2025-02-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1197,
2025-02-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1974,
2025-02-11,MFP iOS calorie adjustment,Cardio,41.0,1,,,,8013,
2025-02-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1712,
2025-02-13,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1032,
2025-02-14,MFP iOS calorie adjustment,Cardio,7.0,1,,,,2347,
2025-02-15,MFP iOS calorie adjustment,Cardio,0.0,1,,,,602,
2025-02-16,MFP iOS calorie adjustment,Cardio,1.0,1,,,,807,
2025-02-17,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,366.1,90,,,,,
2025-02-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,10727,
2025-02-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2710,
2025-02-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,913,
2025-02-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,828,
2025-02-21,MFP iOS calorie adjustment,Cardio,12.0,1,,,,5225,
2025-02-22,MFP iOS calorie adjustment,Cardio,10.0,1,,,,1995,
2025-02-23,"""Strength training (weight lifting, weight training)""",Cardio,296.9,53,,,,,
2025-02-23,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,26.5,3,,,,,
2025-02-23,"""Walking, 3.5 mph, brisk pace""",Cardio,237.2,37,,,,,
2025-02-23,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8960,
2025-02-24,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,83.8,15,,,,,
2025-02-24,"""Strength training (weight lifting, weight training)""",Cardio,379.7,73,,,,,
2025-02-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8340,
2025-02-25,"""Walking, 3.5 mph, brisk pace""",Cardio,197.4,42,,,,,
2025-02-25,"""Walking, 3.5 mph, brisk pace""",Cardio,211.3,42,,,,,
2025-02-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,11279,
2025-02-26,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1811,
2025-02-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1823,
2025-02-28,"""Strength training (weight lifting, weight training)""",Cardio,276.9,49,,,,,
2025-02-28,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4966,
2025-03-01,MFP iOS calorie adjustment,Cardio,157.0,1,,,,12371,
2025-03-02,"""Strength training (weight lifting, weight training)""",Cardio,337.8,60,,,,,
2025-03-02,"""Walking, 2.5 mph, leisurely pace""",Cardio,233.1,64,,,,,
2025-03-02,"""Walking, 2.5 mph, leisurely pace""",Cardio,33.2,4,,,,,
2025-03-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,11380,
2025-03-03,"""Strength training (weight lifting, weight training)""",Cardio,258.8,55,,,,,
2025-03-03,"""Walking, 4.0 mph, very brisk pace""",Cardio,232.3,36,,,,,
2025-03-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,11857,
2025-03-04,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,301.4,64,,,,,
2025-03-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8479,
2025-03-05,Apple Health App Workout,Cardio,132.1,26,,,,,
2025-03-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6837,
2025-03-06,"""Strength training (weight lifting, weight training)""",Cardio,262.2,46,,,,,
2025-03-06,"""Walking, 2.5 mph, leisurely pace""",Cardio,79.0,17,,,,,
2025-03-06,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,249.5,48,,,,,
2025-03-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,10057,
2025-03-07,MFP iOS calorie adjustment,Cardio,3.0,1,,,,3331,
2025-03-08,MFP iOS calorie adjustment,Cardio,8.0,1,,,,5992,
2025-03-09,"""Strength training (weight lifting, weight training)""",Cardio,441.4,71,,,,,
2025-03-09,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,31.6,5,,,,,
2025-03-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,5739,
2025-03-10,"""Strength training (weight lifting, weight training)""",Cardio,241.2,43,,,,,
2025-03-10,"""Strength training (weight lifting, weight training)""",Cardio,207.2,42,,,,,
2025-03-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6362,
2025-03-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2744,
2025-03-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,3565,
2025-03-13,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1645,
2025-03-14,MFP iOS calorie adjustment,Cardio,58.0,1,,,,14827,
2025-03-15,MFP iOS calorie adjustment,Cardio,82.0,1,,,,9029,
2025-03-16,MFP iOS calorie adjustment,Cardio,158.0,1,,,,14118,
2025-03-17,MFP iOS calorie adjustment,Cardio,1.0,1,,,,2233,
2025-03-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2502,
2025-03-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2034,
2025-03-20,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,164.1,44,,,,,
2025-03-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,7432,
2025-03-21,MFP iOS calorie adjustment,Cardio,1.0,1,,,,2717,
2025-03-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2629,
2025-03-23,"""Strength training (weight lifting, weight training)""",Cardio,203.3,36,,,,,
2025-03-23,"""Strength training (weight lifting, weight training)""",Cardio,186.8,34,,,,,
2025-03-23,"""Walking, 3.5 mph, brisk pace""",Cardio,147.3,22,,,,,
2025-03-23,MFP iOS calorie adjustment,Cardio,0.0,1,,,,9013,
2025-03-24,"""Walking, 3.5 mph, brisk pace""",Cardio,224.3,36,,,,,
2025-03-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8659,
2025-03-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2033,
2025-03-26,"""Walking, 2.5 mph, leisurely pace""",Cardio,96.0,30,,,,,
2025-03-26,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,178.3,47,,,,,
2025-03-26,MFP iOS calorie adjustment,Cardio,0.0,1,,,,9687,
2025-03-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2476,
2025-03-28,MFP iOS calorie adjustment,Cardio,26.0,1,,,,6216,
2025-03-29,MFP iOS calorie adjustment,Cardio,30.0,1,,,,6675,
2025-03-30,MFP iOS calorie adjustment,Cardio,15.0,1,,,,5298,
2025-03-31,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,280.0,76,,,,,
2025-03-31,MFP iOS calorie adjustment,Cardio,15.0,1,,,,16699,
2025-04-01,MFP iOS calorie adjustment,Cardio,3.0,1,,,,4751,
2025-04-02,"""Strength training (weight lifting, weight training)""",Cardio,394.7,70,,,,,
2025-04-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,14556,
2025-04-03,MFP iOS calorie adjustment,Cardio,2.0,1,,,,2340,
2025-04-04,"""Running (jogging), 5 mph (12 min mile)""",Cardio,191.2,22,,,,,
2025-04-04,"""Strength training (weight lifting, weight training)""",Cardio,238.0,49,,,,,
2025-04-04,"""Strength training (weight lifting, weight training)""",Cardio,240.2,49,,,,,
2025-04-04,"""Walking, 2.0 mph, slow pace""",Cardio,33.7,7,,,,,
2025-04-04,"""Walking, 3.5 mph, brisk pace""",Cardio,292.8,71,,,,,
2025-04-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,18427,
2025-04-05,MFP iOS calorie adjustment,Cardio,53.0,1,,,,9088,
2025-04-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4111,
2025-04-07,"""Running (jogging), 5 mph (12 min mile)""",Cardio,189.3,25,,,,,
2025-04-07,"""Strength training (weight lifting, weight training)""",Cardio,151.0,37,,,,,
2025-04-07,"""Strength training (weight lifting, weight training)""",Cardio,169.2,38,,,,,
2025-04-07,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,173.9,42,,,,,
2025-04-07,MFP iOS calorie adjustment,Cardio,50.0,1,,,,17605,
2025-04-08,"""Running (jogging), 5 mph (12 min mile)""",Cardio,204.3,27,,,,,
2025-04-08,MFP iOS calorie adjustment,Cardio,55.0,1,,,,12149,
2025-04-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2012,
2025-04-10,MFP iOS calorie adjustment,Cardio,33.0,1,,,,2745,
2025-04-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,3110,
2025-04-12,MFP iOS calorie adjustment,Cardio,76.0,1,,,,6060,
2025-04-13,MFP iOS calorie adjustment,Cardio,8.0,1,,,,4670,
2025-04-14,MFP iOS calorie adjustment,Cardio,2.0,1,,,,2047,
2025-04-15,"""Running (jogging), 5 mph (12 min mile)""",Cardio,266.0,41,,,,,
2025-04-15,MFP iOS calorie adjustment,Cardio,45.0,1,,,,10207,
2025-04-16,"""Running (jogging), 5 mph (12 min mile)""",Cardio,330.8,41,,,,,
2025-04-16,MFP iOS calorie adjustment,Cardio,59.0,1,,,,9934,
2025-04-17,MFP iOS calorie adjustment,Cardio,28.0,1,,,,5561,
2025-04-18,"""Running (jogging), 5 mph (12 min mile)""",Cardio,183.7,27,,,,,
2025-04-18,"""Running (jogging), 5 mph (12 min mile)""",Cardio,183.6,26,,,,,
2025-04-18,"""Strength training (weight lifting, weight training)""",Cardio,387.0,75,,,,,
2025-04-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,18495,
2025-04-19,MFP iOS calorie adjustment,Cardio,29.0,1,,,,8639,
2025-04-20,MFP iOS calorie adjustment,Cardio,35.0,1,,,,6627,
2025-04-21,"""Running (jogging), 5 mph (12 min mile)""",Cardio,357.1,49,,,,,
2025-04-21,"""Strength training (weight lifting, weight training)""",Cardio,194.0,40,,,,,
2025-04-21,MFP iOS calorie adjustment,Cardio,0.0,1,,,,13043,
2025-04-22,"""Running (jogging), 5 mph (12 min mile)""",Cardio,309.4,41,,,,,
2025-04-22,MFP iOS calorie adjustment,Cardio,47.0,1,,,,9467,
2025-04-23,"""Running (jogging), 5 mph (12 min mile)""",Cardio,298.2,41,,,,,
2025-04-23,MFP iOS calorie adjustment,Cardio,49.0,1,,,,8721,
2025-04-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1339,
2025-04-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,686,
2025-04-26,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1450,
2025-04-27,"""Strength training (weight lifting, weight training)""",Cardio,413.4,73,,,,,
2025-04-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4599,
2025-04-28,"""Walking, 2.5 mph, leisurely pace""",Cardio,176.6,53,,,,,
2025-04-28,MFP iOS calorie adjustment,Cardio,12.0,1,,,,7836,
2025-04-29,"""Running (jogging), 5 mph (12 min mile)""",Cardio,304.6,40,,,,,
2025-04-29,"""Strength training (weight lifting, weight training)""",Cardio,206.0,48,,,,,
2025-04-29,MFP iOS calorie adjustment,Cardio,13.0,1,,,,11613,
2025-04-30,"""Walking, 2.0 mph, slow pace""",Cardio,86.3,40,,,,,
2025-04-30,MFP iOS calorie adjustment,Cardio,29.0,1,,,,8244,
2025-05-01,"""Running (jogging), 5 mph (12 min mile)""",Cardio,303.5,42,,,,,
2025-05-01,MFP iOS calorie adjustment,Cardio,59.0,1,,,,12160,
2025-05-02,MFP iOS calorie adjustment,Cardio,58.0,1,,,,8766,
2025-05-03,"""Running (jogging), 5 mph (12 min mile)""",Cardio,310.5,41,,,,,
2025-05-03,MFP iOS calorie adjustment,Cardio,113.0,1,,,,18906,
2025-05-04,MFP iOS calorie adjustment,Cardio,36.0,1,,,,7269,
2025-05-05,MFP iOS calorie adjustment,Cardio,138.0,1,,,,12669,
2025-05-06,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,109.7,29,,,,,
2025-05-06,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,145.3,33,,,,,
2025-05-06,MFP iOS calorie adjustment,Cardio,7.0,1,,,,9130,
2025-05-07,MFP iOS calorie adjustment,Cardio,1.0,1,,,,2926,
2025-05-08,"""Running (jogging), 5 mph (12 min mile)""",Cardio,313.1,39,,,,,
2025-05-08,MFP iOS calorie adjustment,Cardio,56.0,1,,,,9371,
2025-05-09,MFP iOS calorie adjustment,Cardio,9.0,1,,,,6227,
2025-05-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1552,
2025-05-11,MFP iOS calorie adjustment,Cardio,121.0,1,,,,9458,
2025-05-12,MFP iOS calorie adjustment,Cardio,5.0,1,,,,2303,
2025-05-13,"""Running (jogging), 5 mph (12 min mile)""",Cardio,304.5,39,,,,,
2025-05-13,MFP iOS calorie adjustment,Cardio,53.0,1,,,,8187,
2025-05-14,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1630,
2025-05-15,MFP iOS calorie adjustment,Cardio,28.0,1,,,,2909,
2025-05-16,MFP iOS calorie adjustment,Cardio,20.0,1,,,,6525,
2025-05-17,MFP iOS calorie adjustment,Cardio,78.0,1,,,,12521,
2025-05-18,MFP iOS calorie adjustment,Cardio,2.0,1,,,,1988,
2025-05-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1885,
2025-05-20,MFP iOS calorie adjustment,Cardio,88.0,1,,,,11354,
2025-05-21,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1094,
2025-05-22,MFP iOS calorie adjustment,Cardio,143.0,1,,,,14392,
2025-05-23,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1131,
2025-05-24,MFP iOS calorie adjustment,Cardio,15.0,1,,,,5436,
2025-05-25,MFP iOS calorie adjustment,Cardio,41.0,1,,,,14466,
2025-05-26,MFP iOS calorie adjustment,Cardio,119.0,1,,,,11547,
2025-05-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1645,
2025-05-28,MFP iOS calorie adjustment,Cardio,3.0,1,,,,2318,
2025-05-29,"""Running (jogging), 5 mph (12 min mile)""",Cardio,293.0,42,,,,,
2025-05-29,MFP iOS calorie adjustment,Cardio,50.0,1,,,,10948,
2025-05-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,887,
2025-05-31,MFP iOS calorie adjustment,Cardio,92.0,1,,,,10507,
2025-06-01,MFP iOS calorie adjustment,Cardio,90.0,1,,,,7826,
2025-06-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2464,
2025-06-03,MFP iOS calorie adjustment,Cardio,66.0,1,,,,9206,
2025-06-04,MFP iOS calorie adjustment,Cardio,6.0,1,,,,2439,
2025-06-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,3605,
2025-06-06,"""Running (jogging), 5 mph (12 min mile)""",Cardio,292.6,38,,,,,
2025-06-06,MFP iOS calorie adjustment,Cardio,43.0,1,,,,8038,
2025-06-07,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1909,
2025-06-08,"""Strength training (weight lifting, weight training)""",Cardio,188.4,41,,,,,
2025-06-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,5312,
2025-06-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1960,
2025-06-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1004,
2025-06-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,891,
2025-06-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1433,
2025-06-13,MFP iOS calorie adjustment,Cardio,3.0,1,,,,4127,
2025-06-14,MFP iOS calorie adjustment,Cardio,73.0,1,,,,10826,
2025-06-15,MFP iOS calorie adjustment,Cardio,72.0,1,,,,13782,
2025-06-16,MFP iOS calorie adjustment,Cardio,85.0,1,,,,13243,
2025-06-17,"""Walking, 2.0 mph, slow pace""",Cardio,143.7,58,,,,,
2025-06-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,10968,
2025-06-18,MFP iOS calorie adjustment,Cardio,17.0,1,,,,7412,
2025-06-19,MFP iOS calorie adjustment,Cardio,70.0,1,,,,13887,
2025-06-20,MFP iOS calorie adjustment,Cardio,68.0,1,,,,11830,
2025-06-21,MFP iOS calorie adjustment,Cardio,162.0,1,,,,19463,
2025-06-22,MFP iOS calorie adjustment,Cardio,3.0,1,,,,5053,
2025-06-23,"""Walking, 4.5 mph, very, very brisk pace""",Cardio,412.8,44,,,,,
2025-06-23,MFP iOS calorie adjustment,Cardio,65.0,1,,,,9874,
2025-06-24,"""Strength training (weight lifting, weight training)""",Cardio,248.5,49,,,,,
2025-06-24,"""Walking, 3.5 mph, brisk pace""",Cardio,127.6,21,,,,,
2025-06-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6748,
2025-06-25,MFP iOS calorie adjustment,Cardio,10.0,1,,,,2429,
2025-06-26,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1848,
2025-06-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2289,
2025-06-28,MFP iOS calorie adjustment,Cardio,73.0,1,,,,11831,
2025-06-29,MFP iOS calorie adjustment,Cardio,61.0,1,,,,10136,
2025-06-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,234,
