Date,Fitbit steps,Weight
2024-02-26,,96.6
2024-02-27,,96.6
2024-03-01,,95.5
2024-03-06,,93.8
2024-03-19,,93.6
2024-03-21,,93.1
2024-05-19,,91.1
2024-05-26,,90.0
2024-06-05,,90.1
2024-06-06,,90.3
2024-06-07,,90.2
2024-06-08,,89.9
2024-06-10,,89.9
2024-06-11,,89.6
2024-06-12,,89.3
2024-06-13,,88.9
2024-06-18,,89.3
2024-06-19,,88.9
2024-06-20,,88.6
2024-06-21,,88.9
2024-06-22,,88.5
2024-06-23,,88.6
2024-06-24,,87.8
2024-06-25,,87.9
2024-06-26,,88.0
2024-06-27,,87.6
2024-06-28,,87.6
2024-06-30,,87.1
2024-07-01,,86.7
2024-07-02,,86.5
2024-07-03,,86.5
2024-07-04,,86.9
2024-07-05,,86.4
2024-07-08,,86.3
2024-07-09,,86.1
2024-07-10,,85.8
2024-07-13,,85.6
2024-07-15,,85.3
2024-07-20,,84.9
2024-07-25,,85.7
2024-07-29,,84.0
2024-08-01,,85.4
2024-08-03,,85.1
2024-08-07,,85.1
2024-08-08,,84.4
2024-08-14,,84.1
2024-08-16,,84.0
2024-08-17,,83.4
2024-08-30,,83.7
2024-09-04,,83.6
2024-09-05,,83.2
2024-09-06,,82.6
2024-09-07,,82.6
2024-09-09,,82.9
2024-09-10,,82.6
2024-09-17,,83.3
2024-09-26,,82.9
2024-10-08,,83.0
2024-10-09,,82.2
2024-10-10,,82.1
2024-10-28,,81.8
2024-10-30,,81.3
2024-10-31,,80.7
2024-11-05,,81.1
2024-11-06,,80.6
2024-11-07,,80.0
2024-11-12,,81.3
2024-11-22,,79.8
2024-11-24,,79.8
2024-12-03,,79.0
2024-12-04,,78.6
2024-12-06,,79.4
2024-12-12,,79.1
2024-12-13,,78.4
2024-12-14,,78.9
2024-12-16,,78.7
2024-12-17,,78.4
2024-12-19,,78.0
2024-12-27,,77.9
2024-12-30,,78.8
2025-01-02,,78.6
2025-01-04,,78.1
2025-01-05,0.0,78.0
2025-01-06,0.0,
2025-01-07,0.0,77.3
2025-01-08,0.0,
2025-01-09,0.0,77.0
2025-01-10,0.0,76.7
2025-01-11,0.0,76.6
2025-01-12,0.0,
2025-01-13,0.0,
2025-01-22,,76.6
2025-01-24,0.0,76.4
2025-01-25,0.0,76.3
2025-01-26,0.0,75.5
2025-01-27,0.0,
2025-01-28,0.0,75.6
2025-01-29,0.0,
2025-01-30,0.0,75.5
2025-01-31,0.0,
2025-02-01,0.0,76.3
2025-02-02,0.0,76.3
2025-02-03,0.0,75.9
2025-02-04,0.0,75.1
2025-02-05,0.0,74.4
2025-02-06,,74.6
2025-02-07,,75.3
2025-02-08,,75.0
2025-02-09,0.0,74.9
2025-02-10,0.0,74.1
2025-02-11,0.0,75.1
2025-02-12,0.0,74.7
2025-02-13,0.0,
2025-02-14,0.0,
2025-02-15,0.0,74.3
2025-02-16,0.0,
2025-02-17,0.0,74.4
2025-02-18,0.0,74.8
2025-02-19,0.0,74.1
2025-02-20,0.0,74.0
2025-02-21,0.0,
2025-02-22,0.0,73.7
2025-02-23,0.0,74.9
2025-02-24,0.0,75.2
2025-02-25,0.0,74.8
2025-02-26,0.0,75.3
2025-02-27,0.0,74.5
2025-02-28,0.0,74.2
2025-03-01,0.0,74.3
2025-03-02,0.0,74.5
2025-03-03,0.0,74.2
2025-03-04,0.0,74.0
2025-03-05,0.0,73.6
2025-03-06,0.0,73.7
2025-03-07,,72.9
2025-03-08,,73.0
2025-03-09,,73.0
2025-03-10,,73.0
2025-03-11,,73.5
2025-03-12,0.0,73.4
2025-03-13,0.0,72.5
2025-03-14,0.0,72.2
2025-03-15,0.0,
2025-03-16,0.0,74.2
2025-03-17,0.0,
2025-03-18,0.0,73.3
2025-03-19,0.0,72.7
2025-03-20,0.0,73.0
2025-03-21,,73.6
2025-03-22,,73.6
2025-03-23,0.0,
2025-03-24,0.0,73.5
2025-03-25,0.0,73.7
2025-03-26,0.0,73.7
2025-03-27,0.0,73.7
2025-03-28,0.0,72.9
2025-03-29,0.0,72.8
2025-03-30,0.0,
2025-03-31,0.0,72.4
2025-04-01,0.0,72.3
2025-04-02,0.0,72.9
2025-04-03,0.0,72.6
2025-04-04,0.0,
2025-04-05,0.0,72.8
2025-04-06,0.0,73.0
2025-04-07,0.0,73.6
2025-04-08,0.0,73.1
2025-04-09,0.0,72.6
2025-04-10,0.0,72.4
2025-04-11,0.0,72.5
2025-04-12,0.0,73.6
2025-04-13,0.0,72.5
2025-04-14,0.0,72.2
2025-04-15,0.0,
2025-04-16,0.0,71.6
2025-04-17,0.0,71.6
2025-04-18,0.0,71.2
2025-04-19,0.0,
2025-04-20,0.0,
2025-04-21,0.0,
2025-04-22,0.0,72.0
2025-04-23,0.0,72.0
2025-04-24,0.0,71.7
2025-04-25,0.0,70.7
2025-04-26,0.0,72.4
2025-04-27,0.0,71.7
2025-04-28,0.0,71.3
2025-04-29,0.0,71.7
2025-04-30,0.0,71.0
2025-05-01,0.0,70.9
2025-05-02,0.0,71.0
2025-05-03,0.0,
2025-05-04,0.0,
2025-05-05,0.0,
2025-05-06,0.0,71.6
2025-05-07,0.0,71.4
2025-05-08,0.0,71.3
2025-05-09,0.0,71.3
2025-05-10,0.0,70.7
2025-05-11,0.0,71.3
2025-05-12,0.0,71.6
2025-05-13,0.0,70.6
2025-05-14,,70.1
2025-05-15,,69.7
2025-05-16,,69.9
2025-05-19,,70.6
2025-05-21,0.0,70.5
2025-05-22,0.0,
2025-05-23,0.0,69.8
2025-05-24,0.0,69.9
2025-05-25,0.0,
2025-05-26,0.0,
2025-05-27,0.0,70.2
2025-05-28,0.0,68.9
2025-05-29,0.0,68.6
2025-05-30,0.0,70.7
2025-05-31,0.0,70.0
2025-06-01,0.0,
2025-06-02,0.0,69.4
2025-06-03,0.0,69.2
2025-06-04,0.0,69.5
2025-06-05,0.0,68.8
2025-06-06,0.0,68.4
2025-06-07,0.0,69.1
2025-06-08,0.0,68.8
2025-06-09,0.0,68.1
2025-06-10,0.0,67.8
2025-06-11,0.0,67.5
2025-06-12,0.0,67.2
2025-06-13,0.0,67.8
2025-06-14,0.0,
2025-06-15,0.0,
2025-06-16,0.0,
2025-06-17,0.0,
2025-06-18,0.0,
2025-06-19,0.0,
2025-06-20,0.0,
2025-06-21,0.0,
2025-06-22,0.0,
2025-06-23,0.0,69.1
2025-06-24,0.0,68.2
2025-06-25,,67.8
2025-06-26,,68.3
2025-06-27,,67.1
2025-06-30,,68.5
